"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Spinosaurus_.1",0.73,0.74,0.75,0.75,0.73,0.74,0.73,0.73,0.75,0.74,0.74,0.75,0.74,0.74,0.73,0.74,0.75,0.73,0.73,0.74,0.73,0.74,0.75,0.73,0.73,0.74,0.74,0.75,0.74,0.75,0.73,0.75,0.75,0.75,0.75,0.74,0.73,0.75,0.75,0.75,0.75,0.73,0.74,0.74,0.75,0.73,0.75,0.73,0.75,0.73,0.75,0.73,0.73,0.75,0.74,0.74,0.73,0.74,0.74,0.75,0.74,0.73,0.75,0.74,0.74,0.75,0.74,0.75,0.73,0.74,0.73,0.73,0.74,0.73,0.74,0.74,0.74,0.73,0.73,0.74,0.73,0.73,0.74,0.73,0.73,0.74,0.73,0.73,0.75,0.74,0.73,0.73,0.74,0.75,0.74,0.73,0.75,0.75,0.74,0.74
"Spinosaurus_",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"Baryonyx.3",0.66,0.66,0.65,0.66,0.66,0.66,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.66,0.66,0.66,0.66,0.65,0.66,0.66,0.66,0.65,0.66,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.66,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.66,0.67,0.65,0.66,0.65,0.66,0.66,0.66,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.66,0.65
"Baryonyx.2",0.81,0.8,0.8,0.8,0.81,0.8,0.8,0.8,0.8,0.81,0.81,0.81,0.81,0.8,0.81,0.8,0.81,0.8,0.81,0.8,0.8,0.8,0.8,0.8,0.81,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.81,0.8,0.81,0.8,0.8,0.8,0.81,0.8,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.81,0.8,0.81,0.81,0.8,0.81,0.8,0.8,0.81,0.81,0.81,0.8,0.8,0.81,0.8,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.8,0.8,0.81,0.8,0.81,0.8,0.8,0.8,0.81,0.81,0.8,0.81,0.81,0.8,0.81,0.8,0.8,0.81,0.81,0.81,0.8,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.8
"Baryonyx.1",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
"Suchomimus.3",0.26,0.26,0.25,0.25,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.26,0.26,0.26,0.25,0.26,0.27,0.25,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.26,0.26,0.26
"Suchomimus.2",0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.41,0.4,0.4,0.41,0.4,0.39,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.4,0.41,0.39,0.41,0.4,0.41,0.4,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.41,0.4,0.4,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4
"Suchomimus.1",0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26
"Suchomimus",0.4,0.4,0.4,0.4,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.41,0.41,0.41,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.4,0.41,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.41,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.4,0.41,0.41,0.39,0.41,0.4,0.4,0.4,0.41,0.41,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.41,0.4,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4
"Baryonyx",0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.88,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
